1,Team,Round,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Shots,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Distance from goal,Shots from FK,PK made,PK attempted
589,Bochum,Matchweek 10,Home,D,1,1,Leverkusen,0.7,1.2,30,15,3,20,0.07,0.33,20.1,0,0,0
590,Bochum,Matchweek 11,Away,L,0,2,Stuttgart,0.7,1.7,42,9,2,22.2,0,0,19.4,0,0,0
591,Bochum,Matchweek 12,Away,L,0,1,Augsburg,0.3,1.9,48,7,1,14.3,0,0,22,0,0,0
592,Bochum,Matchweek 13,Home,L,0,1,Werder Bremen,1.2,0.8,52,12,2,16.7,0,0,21.3,0,0,0
593,Bochum,Matchweek 14,Away,W,2,0,Union Berlin,1,2.5,31,13,3,23.1,0.08,0.33,15.1,0,0,0
594,Bochum,Matchweek 15,Home,W,2,0,Heidenheim,1.6,0.6,52,14,4,28.6,0.14,0.5,16.9,3,0,0
595,Bochum,Matchweek 16,Away,L,0,2,Mainz 05,0.6,1.9,42,11,2,18.2,0,0,14.8,0,0,0
596,Bochum,Matchweek 17,Home,W,1,0,St. Pauli,1.4,0.7,51,13,5,38.5,0.08,0.2,15.2,0,0,0
597,Bochum,Matchweek 18,Home,D,3,3,RB Leipzig,2.7,2.2,45,13,2,15.4,0.15,1,19.3,0,1,1
598,Bochum,Matchweek 19,Away,L,0,3,Gladbach,0.5,2.3,43,10,4,40,0,0,14.6,0,0,0
599,Bochum,Matchweek 20,Home,L,0,1,Freiburg,1,1.7,58,22,4,18.2,0,0,20,0,0,0
600,Bochum,Matchweek 21,Away,D,2,2,Holstein Kiel,2.3,1.9,52,20,4,20,0.1,0.5,13.1,0,0,0
601,Bochum,Matchweek 22,Home,W,2,0,Dortmund,2.7,2.6,31,18,9,50,0.11,0.22,15.2,0,0,0
602,Bochum,Matchweek 23,Away,D,1,1,Wolfsburg,0.8,1.6,46,11,5,45.5,0.09,0.2,15,0,0,0
603,Bochum,Matchweek 24,Home,L,0,1,Hoffenheim,0.9,0.6,58,12,3,25,0,0,15.4,1,0,0
604,Bochum,Matchweek 25,Away,W,3,2,Bayern Munich,1.1,2.4,27,8,5,62.5,0.38,0.6,12.4,0,0,0
605,Bochum,Matchweek 26,Home,L,1,3,Eint Frankfurt,1.4,2.5,51,17,7,41.2,0.06,0.14,13.7,0,0,0
606,Bochum,Matchweek 27,Away,L,1,3,Leverkusen,0.5,2,34,8,3,37.5,0.13,0.33,22.5,0,0,0
607,Bochum,Matchweek 28,Home,L,0,4,Stuttgart,0.8,2.8,54,11,2,18.2,0,0,16.7,0,0,0
608,Bochum,Matchweek 29,Home,L,1,2,Augsburg,2.8,1.1,53,25,9,36,0.04,0.11,16.1,1,0,0
609,Bochum,Matchweek 30,Away,L,0,1,Werder Bremen,0.7,1.8,52,12,1,8.3,0,0,19.5,2,0,0
610,Bochum,Matchweek 31,Home,D,1,1,Union Berlin,1.5,0.3,66,9,3,33.3,0.11,0.33,20.1,0,0,1
611,Bochum,Matchweek 32,Away,D,0,0,Heidenheim,1.3,0.7,54,14,3,21.4,0,0,16.3,0,0,0
612,Bochum,Matchweek 33,Home,L,1,4,Mainz 05,0.9,1.5,44,11,6,54.5,0.09,0.17,20,0,0,0
613,Bochum,Matchweek 34,Away,W,2,0,St. Pauli,1.3,0.8,43,9,6,66.7,0.22,0.33,17.5,0,0,0
