1,Team,Round,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Shots,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Distance from goal,Shots from FK,PK made,PK attempted
89,Eintracht Frankfurt,Matchweek 20,Home,D,1,1,Wolfsburg,1.2,1.2,61,16,4,25,0.06,0.25,17.2,0,0,0
90,Eintracht Frankfurt,Matchweek 21,Away,D,1,1,Gladbach,2.2,0.4,47,15,7,46.7,0.07,0.14,16,0,0,0
91,Eintracht Frankfurt,Matchweek 22,Home,W,3,1,Holstein Kiel,2.5,1.4,51,19,8,42.1,0.16,0.38,19.1,1,0,1
92,Eintracht Frankfurt,Matchweek 23,Away,L,0,4,Bayern Munich,0.5,3.8,37,7,2,28.6,0,0,16.3,0,0,0
93,Eintracht Frankfurt,Matchweek 24,Home,L,1,4,Leverkusen,1.1,2,41,7,3,42.9,0.14,0.33,16.1,0,0,0
94,Eintracht Frankfurt,Matchweek 25,Home,L,1,2,Union Berlin,1.8,0.9,66,13,2,15.4,0.08,0.5,16.5,0,0,1
95,Eintracht Frankfurt,Matchweek 26,Away,W,3,1,Bochum,2.5,1.4,49,18,7,38.9,0.17,0.43,15.4,1,0,0
96,Eintracht Frankfurt,Matchweek 27,Home,W,1,0,Stuttgart,3.7,1.2,46,19,5,26.3,0.05,0.2,14.9,1,0,0
97,Eintracht Frankfurt,Matchweek 28,Away,L,0,2,Werder Bremen,0.5,1,62,9,0,0,0,,18,1,0,0
98,Eintracht Frankfurt,Matchweek 29,Home,W,3,0,Heidenheim,3.7,1.7,44,19,8,42.1,0.16,0.38,19.8,0,0,0
99,Eintracht Frankfurt,Matchweek 30,Away,D,0,0,Augsburg,1.1,0.9,54,8,4,50,0,0,10.8,0,0,0
100,Eintracht Frankfurt,Matchweek 31,Home,W,4,0,RB Leipzig,2.1,0.4,46,9,5,55.6,0.44,0.8,13.1,1,0,0
101,Eintracht Frankfurt,Matchweek 32,Away,D,1,1,Mainz 05,1.3,1.4,36,8,2,25,0.13,0.5,18.1,0,0,0
102,Eintracht Frankfurt,Matchweek 33,Home,D,2,2,St. Pauli,1.7,0.8,72,13,5,38.5,0.15,0.4,14.9,0,0,0
103,Eintracht Frankfurt,Matchweek 34,Away,W,3,1,Freiburg,2,0.7,41,11,6,54.5,0.27,0.5,13.4,0,0,0
104,Dortmund,Matchweek 1,Home,W,2,0,Eint Frankfurt,1.7,1.4,69,20,5,25,0.1,0.4,17.2,0,0,0
105,Dortmund,Matchweek 2,Away,D,0,0,Werder Bremen,0.6,0.3,53,9,4,44.4,0,0,20.2,0,0,0
106,Dortmund,Matchweek 3,Home,W,4,2,Heidenheim,2.6,1.8,60,12,5,41.7,0.25,0.6,17,0,1,1
107,Dortmund,Matchweek 4,Away,L,1,5,Stuttgart,0.7,3.4,48,7,3,42.9,0.14,0.33,12.9,0,0,0
108,Dortmund,Matchweek 5,Home,W,4,2,Bochum,3.2,1.3,66,22,7,31.8,0.14,0.43,16.4,0,1,1
109,Dortmund,Matchweek 6,Away,L,1,2,Union Berlin,0.7,1.5,67,8,4,50,0.13,0.25,18.3,0,0,0
110,Dortmund,Matchweek 7,Home,W,2,1,St. Pauli,2.6,0.6,74,20,7,35,0.1,0.29,13.4,0,0,0
111,Dortmund,Matchweek 8,Away,L,1,2,Augsburg,1,0.6,75,11,4,36.4,0.09,0.25,20.1,0,0,0
112,Dortmund,Matchweek 9,Home,W,2,1,RB Leipzig,2,0.5,57,20,7,35,0.1,0.29,14.3,1,0,0
113,Dortmund,Matchweek 10,Away,L,1,3,Mainz 05,0.9,2,47,1,0,0,0,,23,0,1,1
114,Dortmund,Matchweek 11,Home,W,4,0,Freiburg,1.3,0.8,59,19,7,36.8,0.21,0.57,18.7,1,0,0
115,Dortmund,Matchweek 12,Home,D,1,1,Bayern Munich,0.6,1.5,33,7,2,28.6,0.14,0.5,18.3,0,0,0
116,Dortmund,Matchweek 13,Away,D,1,1,Gladbach,1.5,1.1,60,16,3,18.8,0.06,0.33,14.6,0,0,0
117,Dortmund,Matchweek 14,Home,D,1,1,Hoffenheim,0.5,1,54,6,2,33.3,0.17,0.5,16.9,1,0,0
118,Dortmund,Matchweek 15,Away,W,3,1,Wolfsburg,2.7,1.5,50,12,4,33.3,0.25,0.75,13.7,0,0,0
119,Dortmund,Matchweek 16,Home,L,2,3,Leverkusen,1.3,1.6,70,11,4,36.4,0.09,0.25,19.3,0,1,1
120,Dortmund,Matchweek 17,Away,L,2,4,Holstein Kiel,1,1.6,75,16,4,25,0.13,0.5,18,0,0,0
121,Dortmund,Matchweek 18,Away,L,0,2,Eint Frankfurt,0.8,1.7,67,12,3,25,0,0,15,0,0,0
122,Dortmund,Matchweek 19,Home,D,2,2,Werder Bremen,1,1.3,46,8,4,50,0.13,0.25,15.8,1,0,0
123,Dortmund,Matchweek 20,Away,W,2,1,Heidenheim,2.2,0.6,63,16,5,31.3,0.13,0.4,15,0,0,0
124,Dortmund,Matchweek 21,Home,L,1,2,Stuttgart,1.4,0.3,68,16,5,31.3,0.06,0.2,18.2,2,0,0
125,Dortmund,Matchweek 22,Away,L,0,2,Bochum,2.6,2.7,69,17,2,11.8,0,0,16.5,2,0,0
126,Dortmund,Matchweek 23,Home,W,6,0,Union Berlin,4.8,0.3,64,24,8,33.3,0.21,0.63,12.8,0,0,0
127,Dortmund,Matchweek 24,Away,W,2,0,St. Pauli,1.5,0.4,57,14,3,21.4,0.14,0.67,14.3,0,0,0
128,Dortmund,Matchweek 25,Home,L,0,1,Augsburg,1.2,0.2,71,15,1,6.7,0,0,15.1,0,0,0
129,Dortmund,Matchweek 26,Away,L,0,2,RB Leipzig,3,1.8,66,25,9,36,0,0,15,0,0,0
130,Dortmund,Matchweek 27,Home,W,3,1,Mainz 05,2.8,0.8,44,18,7,38.9,0.17,0.43,17.6,1,0,0
131,Dortmund,Matchweek 28,Away,W,4,1,Freiburg,3.3,1.8,46,18,7,38.9,0.22,0.57,12.7,0,0,0
132,Dortmund,Matchweek 29,Away,D,2,2,Bayern Munich,1.6,2.3,38,11,3,27.3,0.18,0.67,14.8,0,0,0
133,Dortmund,Matchweek 30,Home,W,3,2,Gladbach,1.4,1.4,59,14,6,42.9,0.21,0.5,16.8,0,0,0
134,Dortmund,Matchweek 31,Away,W,3,2,Hoffenheim,2.6,1.1,61,15,7,46.7,0.2,0.43,16.8,0,0,1
135,Dortmund,Matchweek 32,Home,W,4,0,Wolfsburg,2.4,0.7,54,11,5,45.5,0.36,0.8,12.8,0,0,0
136,Dortmund,Matchweek 33,Away,W,4,2,Leverkusen,1.2,2.2,38,9,5,55.6,0.44,0.8,19.5,0,0,0
137,Dortmund,Matchweek 34,Home,W,3,0,Holstein Kiel,2.4,0.8,73,18,5,27.8,0.11,0.4,19,0,1,1
138,Freiburg,Matchweek 1,Home,W,3,1,Stuttgart,2.1,0.4,33,16,5,31.3,0.19,0.6,16.4,1,0,0
139,Freiburg,Matchweek 2,Away,L,0,2,Bayern Munich,1,1.5,34,8,3,37.5,0,0,26.8,0,0,1
140,Freiburg,Matchweek 3,Home,W,2,1,Bochum,3.7,0.9,54,26,8,30.8,0.08,0.25,14.4,0,0,0
141,Freiburg,Matchweek 4,Away,W,3,0,Heidenheim,1.4,0.7,58,15,5,33.3,0.2,0.6,16.8,0,0,0
142,Freiburg,Matchweek 5,Home,L,0,3,St. Pauli,1.2,1.1,73,8,1,12.5,0,0,16.9,1,0,1
143,Freiburg,Matchweek 6,Away,W,1,0,Werder Bremen,1,1,42,15,3,20,0.07,0.33,20.6,0,0,0
144,Freiburg,Matchweek 7,Home,W,3,1,Augsburg,0.8,0.6,57,15,6,40,0.2,0.5,19.8,0,0,0
145,Freiburg,Matchweek 8,Away,L,1,3,RB Leipzig,1.7,1.8,57,15,5,33.3,0.07,0.2,18,2,0,0
146,Freiburg,Matchweek 9,Home,D,0,0,Mainz 05,0.8,0.5,51,10,2,20,0,0,19.7,0,0,0
147,Freiburg,Matchweek 10,Away,D,0,0,Union Berlin,1.7,0.7,59,13,3,23.1,0,0,19.8,0,0,1
148,Freiburg,Matchweek 11,Away,L,0,4,Dortmund,0.8,1.3,41,7,2,28.6,0,0,18.1,0,0,0
149,Freiburg,Matchweek 12,Home,W,3,1,Gladbach,1.6,1.5,48,17,7,41.2,0.18,0.43,16.5,1,0,0
150,Freiburg,Matchweek 13,Away,D,1,1,Hoffenheim,1,1.4,50,11,4,36.4,0.09,0.25,15.1,0,0,0
151,Freiburg,Matchweek 14,Home,W,3,2,Wolfsburg,2.1,1.8,53,18,9,50,0.17,0.33,14.9,0,0,0
152,Freiburg,Matchweek 15,Away,L,1,5,Leverkusen,0.7,2.8,33,8,2,25,0.13,0.5,17.7,0,0,0
153,Freiburg,Matchweek 16,Home,W,3,2,Holstein Kiel,0.7,1.8,51,14,5,35.7,0.14,0.4,18,1,0,0
154,Freiburg,Matchweek 17,Away,L,1,4,Eint Frankfurt,0.5,2.4,36,7,5,71.4,0.14,0.2,25,1,0,0
155,Freiburg,Matchweek 18,Away,L,0,4,Stuttgart,0.2,1.9,44,4,0,0,0,,17.7,0,0,0
156,Freiburg,Matchweek 19,Home,L,1,2,Bayern Munich,0.3,1,35,7,2,28.6,0.14,0.5,14.8,0,0,0
157,Freiburg,Matchweek 20,Away,W,1,0,Bochum,1.7,1,42,13,4,30.8,0.08,0.25,14.1,1,0,0
158,Freiburg,Matchweek 21,Home,W,1,0,Heidenheim,1,0.5,53,9,3,33.3,0.11,0.33,13.7,0,0,0
159,Freiburg,Matchweek 22,Away,W,1,0,St. Pauli,1.3,0.2,46,4,2,50,0,0,26.6,2,0,1
160,Freiburg,Matchweek 23,Home,W,5,0,Werder Bremen,1.8,1.2,37,13,6,46.2,0.38,0.83,15.2,1,0,0
161,Freiburg,Matchweek 24,Away,D,0,0,Augsburg,0.8,1.5,49,7,3,42.9,0,0,21.3,1,0,0
162,Freiburg,Matchweek 25,Home,D,0,0,RB Leipzig,0.5,1.5,53,10,2,20,0,0,25.2,1,0,0
163,Freiburg,Matchweek 26,Away,D,2,2,Mainz 05,3.1,1.3,56,24,8,33.3,0.08,0.25,13.4,1,0,0
164,Freiburg,Matchweek 27,Home,L,1,2,Union Berlin,1.4,1,72,9,3,33.3,0.11,0.33,19.5,1,0,0
165,Freiburg,Matchweek 28,Home,L,1,4,Dortmund,1.8,3.3,54,12,2,16.7,0.08,0.5,14.5,0,0,0
166,Freiburg,Matchweek 29,Away,W,2,1,Gladbach,1.6,0.7,58,19,7,36.8,0.11,0.29,13.1,0,0,0
167,Freiburg,Matchweek 30,Home,W,3,2,Hoffenheim,1.3,1.5,40,12,6,50,0.25,0.5,14.9,0,0,0
168,Freiburg,Matchweek 31,Away,W,1,0,Wolfsburg,1.6,0.3,56,15,2,13.3,0.07,0.5,17.1,1,0,0
169,Freiburg,Matchweek 32,Home,D,2,2,Leverkusen,0.9,0.3,33,7,3,42.9,0.14,0.33,15.6,0,0,0
170,Freiburg,Matchweek 33,Away,W,2,1,Holstein Kiel,1.4,1,40,9,3,33.3,0.22,0.67,10.3,0,0,0
171,Freiburg,Matchweek 34,Home,L,1,3,Eint Frankfurt,0.7,2,59,8,1,12.5,0.13,1,13,0,0,0
172,Mainz 05,Matchweek 1,Home,D,1,1,Union Berlin,1.2,0.6,53,14,3,21.4,0.07,0.33,15.4,1,0,0
173,Mainz 05,Matchweek 2,Away,D,3,3,Stuttgart,2.3,3.8,37,10,6,60,0.2,0.33,21.6,1,1,1
174,Mainz 05,Matchweek 3,Home,L,1,2,Werder Bremen,1.1,1.6,58,16,5,31.3,0.06,0.2,16.9,1,0,0
175,Mainz 05,Matchweek 4,Away,W,3,2,Augsburg,1,2.4,27,5,3,60,0.6,1,11.4,0,0,0
176,Mainz 05,Matchweek 5,Home,L,0,2,Heidenheim,0.6,1.2,50,7,1,14.3,0,0,17.9,1,0,0
177,Mainz 05,Matchweek 6,Away,W,3,0,St. Pauli,1.1,1,44,8,4,50,0.38,0.75,21.4,0,0,0
178,Mainz 05,Matchweek 7,Home,L,0,2,RB Leipzig,0.6,1.9,53,17,2,11.8,0,0,18.1,0,0,0
179,Mainz 05,Matchweek 8,Home,D,1,1,Gladbach,1.7,0.7,52,23,6,26.1,0,0,19.2,0,0,0
180,Mainz 05,Matchweek 9,Away,D,0,0,Freiburg,0.5,0.8,49,9,2,22.2,0,0,17,0,0,0
181,Mainz 05,Matchweek 10,Home,W,3,1,Dortmund,2,0.9,53,13,9,69.2,0.23,0.33,13.4,0,0,0
182,Mainz 05,Matchweek 11,Away,W,3,0,Holstein Kiel,2.2,0.4,62,17,6,35.3,0.12,0.33,18,1,1,1
183,Mainz 05,Matchweek 12,Home,W,2,0,Hoffenheim,2.2,0.4,52,18,8,44.4,0.11,0.25,14.8,0,0,0
184,Mainz 05,Matchweek 13,Away,L,3,4,Wolfsburg,2.6,1.2,56,12,5,41.7,0.25,0.6,13.1,1,0,0
185,Mainz 05,Matchweek 14,Home,W,2,1,Bayern Munich,1,1.4,32,8,4,50,0.25,0.5,15.1,0,0,0
186,Mainz 05,Matchweek 15,Away,W,3,1,Eint Frankfurt,0.6,2.4,30,9,3,33.3,0.22,0.67,18.2,0,0,0
187,Mainz 05,Matchweek 16,Home,W,2,0,Bochum,1.9,0.6,58,10,5,50,0.2,0.4,12.1,0,0,0
188,Mainz 05,Matchweek 17,Away,L,0,1,Leverkusen,0.7,1.8,34,7,4,57.1,0,0,15,0,0,0
189,Mainz 05,Matchweek 18,Away,L,1,2,Union Berlin,1.7,2.1,66,8,0,0,0,,20.7,0,1,1
190,Mainz 05,Matchweek 19,Home,W,2,0,Stuttgart,1.9,1.1,44,11,4,36.4,0.18,0.5,15.3,0,0,0
